Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2019-07-12,1.02,1.73,6.9,2.3,2.99,0,,,,,,,,,,
2019-07-13,2.91,1.36,5.3,5,3.64,0,,,,,,,,,,
2019-07-14,3.72,2.95,1.9,4,3.14,0,,,,,,,,,,
2019-07-15,0.64,1.82,3.8,2.5,2.19,0,,,,,,,,,,
2019-07-16,0.49,1.08,2,2.4,1.49,0,,,,,,,,,,
2019-07-17,1.74,0.71,1.6,1.5,1.39,1.82,,,,,,,,,,
2019-07-18,3.55,3,3.3,2.5,3.09,0.51,,,,,,,,,,
2019-07-19,3.39,2.72,2,1.1,2.30,0,,,,,,,,,,
2019-07-20,4.28,0.19,1.6,3.8,2.47,0,,,,,,,,,,
2019-07-21,0.49,1.13,3,1.6,1.56,0,,,,,,,,,,
2019-07-22,3.95,0.83,2.3,2.1,2.29,1.66,,,,,,,,,,
2019-07-23,0.09,1.02,1.5,2.3,1.23,0.53,,,,,,,,,,
2019-07-24,0.54,0.54,5.8,0.89,1.94,0.02,,,,,,,,,,
2019-07-25,2.77,2.21,2.3,1.7,2.24,0,,,,,,,,,,
2019-07-26,2.67,2.68,5.2,0.81,2.84,0,,,,,,,,,,
2019-07-27,1.51,1.52,3.3,3.5,2.46,0,,,,,,,,,,
2019-07-28,2.64,0.62,3.1,1.4,1.94,0.01,,,,,,,,,,
2019-07-29,4.18,1.19,2.7,0.97,2.26,0,,,,,,,,,,
2019-07-30,1.27,1.93,6.2,1.5,2.72,0.01,,,,,,,,,,
2019-07-31,1.63,1.27,1.8,3.8,2.12,0.36,,,,,,,,,,
2019-08-01,1.42,2.01,0.21,1.4,1.26,0,,,,,,,,,,
2019-08-02,2.86,0.83,0.23,4.1,2.00,0,,,,,,,,,,
2019-08-03,0.56,3.91,1.1,3.7,2.32,0.21,,,,,,,,,,
2019-08-04,1.17,2.94,1.3,1.4,1.70,0,,,,,,,,,,
2019-08-05,0.57,1.23,0.92,2.3,1.25,0,,,,,,,,,,
2019-08-06,2.78,2.42,2.3,2.5,2.50,0.04,,,,,,,,,,
2019-08-07,2.53,1.23,0.75,2.7,1.80,1.18,,,,,,,,,,
2019-08-08,3.60,1.64,2.2,1.7,2.29,0.2,,,,,,,,,,
2019-08-09,0.18,1.51,2.7,1.9,1.57,0.08,,,,,,,,,,
2019-08-10,1.70,1.77,1.5,1.5,1.62,0,,,,,,,,,,
